Match ID,Match Score,Team,Player,K,D,A,Damage,ADR,ADR Differ...,HLTV Rating 2.1,"KAST, %",Open kills,Trade kills
1099638379636410,4-13,Team Dave,lunzhi,18,16,3,2053,121,+25,1.44,88,2,4
1099638379636410,4-13,Team Dave,gibson,14,14,1,1471,87,-1,1.16,58,2,3
1099638379636410,4-13,Team Dave,boris,11,13,4,1271,75,-10,0.91,58,1,2
1099638379636410,4-13,Team Dave,riedy,8,11,2,935,72,-26,0.85,53,3,1
1099638379636410,4-13,Team Dave,ameen,7,16,2,770,45,-48,0.47,52,1,1
1099638379636410,4-13,Team Dave,jerome,3,14,2,611,36,-49,0.33,41,1,0
1099638379636410,4-13,Team Lunzhi,alexis,26,9,3,2328,137,+74,2.09,82,1,4
1099638379636410,4-13,Team Lunzhi,daniel,21,10,5,1958,115,+50,1.62,82,0,4
1099638379636410,4-13,Team Lunzhi,dave,16,14,7,2031,119,+28,1.47,82,4,0
1099638379636410,4-13,Team Lunzhi,chris,12,8,7,1459,86,+22,1.28,88,1,2
1099638379636410,4-13,Team Lunzhi,joe,7,10,2,633,37,-31,0.76,76,0,1
1099638379636410,4-13,Team Lunzhi,mark,5,13,2,536,32,-49,0.5,58,1,1
1530419511959570,2-13,Team 2,dave,33,14,6,3451,173,+91,2.31,89,5,5
1530419511959570,2-13,Team 2,gibson,25,11,7,2353,118,+53,1.89,89,3,3
1530419511959570,2-13,Team 2,joe,13,12,10,1883,94,+23,1.25,80,3,0
1530419511959570,2-13,Team 2,daniel,14,13,5,1588,79,+14,1.16,80,1,2
1530419511959570,2-13,Team 1,jerome,16,16,1,1503,75,-20,0.97,60,2,1
1530419511959570,2-13,Team 1,mark,13,17,2,994,50,-40,0.75,60,2,1
1530419511959570,2-13,Team 1,chris,7,17,10,1288,64,-24,0.63,64,1,1
1530419511959570,2-13,Team 1,riedy,9,18,4,1019,51,-42,0.57,55,2,2
1530419511959570,2-13,Team 1,ameen,4,18,6,777,39,-58,0.33,44,1,0
1576334870425160,2-10,Team 2,slayer,19,17,5,1996,87,+5,1.21,73,4,5
1576334870425160,2-10,Team 2,chris,16,15,7,1676,73,+5,1.12,82,1,5
1576334870425160,2-10,Team 2,diddysmash,16,19,3,1392,61,-25,0.9,47,2,2
1576334870425160,2-10,Team 2,mark,13,18,1,1425,62,-25,0.74,52,1,1
1576334870425160,2-10,Team 2,pancake,11,20,5,1513,66,-25,0.7,56,2,1
1576334870425160,2-10,Team 2,sheez,10,19,7,1436,62,-29,0.66,65,0,2
